"","method","variate","design","number","RMSE","k","methodID","rRMSE"
"280","exhaustive_caret_5k","AGB","clusterStrong",80,29.4256714440043,NA,0,0
"281","exhaustive_caret_5k","AGB","clusterStrong",81,30.4997483827846,NA,0,0
"282","exhaustive_caret_5k","AGB","clusterStrong",82,29.1381647648991,NA,0,0
"283","exhaustive_caret_5k","AGB","clusterStrong",83,NA,NA,0,NA
"284","exhaustive_caret_5k","AGB","clusterStrong",84,29.2825883431612,NA,0,0
"285","exhaustive_caret_5k","AGB","clusterStrong",85,28.5827321137632,NA,0,0
"286","exhaustive_caret_5k","AGB","clusterStrong",86,29.3944547053284,NA,0,0
"287","exhaustive_caret_5k","AGB","clusterStrong",87,28.5641964670658,NA,0,0
"288","exhaustive_caret_5k","AGB","clusterStrong",88,28.7883800247882,NA,0,0
"289","exhaustive_caret_5k","AGB","clusterStrong",89,28.2101246175734,NA,0,0
"290","exhaustive_caret_5k","AGB","clusterStrong",90,28.7863255426083,NA,0,0
"291","exhaustive_caret_5k","AGB","clusterStrong",91,28.0474714501675,NA,0,0
"292","exhaustive_caret_5k","AGB","clusterStrong",92,30.1479010594607,NA,0,0
"293","exhaustive_caret_5k","AGB","clusterStrong",93,29.619347334343,NA,0,0
"294","exhaustive_caret_5k","AGB","clusterStrong",94,30.0570270461529,NA,0,0
"295","exhaustive_caret_5k","AGB","clusterStrong",95,28.6877340242753,NA,0,0
"296","exhaustive_caret_5k","AGB","clusterStrong",96,28.926784203342,NA,0,0
"297","exhaustive_caret_5k","AGB","clusterStrong",97,28.7337972030935,NA,0,0
"298","exhaustive_caret_5k","AGB","clusterStrong",98,30.1831282806793,NA,0,0
"299","exhaustive_caret_5k","AGB","clusterStrong",99,29.4449075134204,NA,0,0
"300","exhaustive_caret_5k","AGB","clusterStrong",100,28.9504356871505,NA,0,0
"301","exhaustive_caret_5k","AGB","regular",1,27.0731240691792,NA,0,0
"302","exhaustive_caret_5k","AGB","regular",2,26.5592872748537,NA,0,0
"303","exhaustive_caret_5k","AGB","regular",3,26.6426653651753,NA,0,0
"304","exhaustive_caret_5k","AGB","regular",4,26.7223584809994,NA,0,0
"305","exhaustive_caret_5k","AGB","regular",5,26.6995712768331,NA,0,0
"306","exhaustive_caret_5k","AGB","regular",6,26.339374148818,NA,0,0
"307","exhaustive_caret_5k","AGB","regular",7,26.5031694057149,NA,0,0
"308","exhaustive_caret_5k","AGB","regular",8,26.4963474952575,NA,0,0
"309","exhaustive_caret_5k","AGB","regular",9,26.6103975135733,NA,0,0
"310","exhaustive_caret_5k","AGB","regular",10,26.6518154109262,NA,0,0
"311","exhaustive_caret_5k","AGB","regular",11,26.6929288404508,NA,0,0
"312","exhaustive_caret_5k","AGB","regular",12,26.7420325665471,NA,0,0
"313","exhaustive_caret_5k","AGB","regular",13,26.752451122956,NA,0,0
"314","exhaustive_caret_5k","AGB","regular",14,26.5231827360887,NA,0,0
"315","exhaustive_caret_5k","AGB","regular",15,26.4971609500461,NA,0,0
