k,dsample,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
18,random,0.09256213867669719,0.071824159800085,0.871543753168638,0.09146539534964095,0.07412433884952682,0.8793581545296973,2869.0495001131185
18,wclust,0.12923673911388714,0.09538582521423741,0.8133170330572026,0.12456126116638179,0.0912149446258632,0.5782785793150852,20093.42169414147
18,sclust,0.12767262253673775,0.0905907133033821,0.703817055245892,0.1128232860731539,0.08999893570174773,0.8172909109359314,24607.365595789797
20,sregular,0.09315751735967773,0.06744934179843512,0.8737172212480848,0.09284586433553522,0.07006144202324152,0.8393518318442695,15288.992856336266
20,wregular,0.0922375147631786,0.07114893247606657,0.892104941323688,0.0908601862827551,0.06867807926126931,0.8738571061940424,6026.660974877881
20,random,0.0924623137981377,0.06946657772332952,0.8823243392699892,0.08903528709817597,0.06862253749499718,0.8681273984956429,4881.221727272755
20,wclust,0.11538989489316692,0.07971848853295559,0.7713358228530744,0.08173814883968313,0.062096633038669836,0.8929985794750004,19204.347391862433
20,sclust,0.16661576296603484,0.12039638242340746,0.5396938433646302,0.08881413461261127,0.06748504632471751,0.672063709806599,54914.753523128325
2,sregular,0.09100771303165277,0.06746086476535419,0.8815709006124458,0.16126724976745344,0.12127954631062911,0.4961991331593128,34733.54202081131
2,wregular,0.08914363322489016,0.06920369294634883,0.9002110022010008,0.11428174409611329,0.08694420995859217,0.7553058640089703,21203.356183434185
2,random,0.10588957619007086,0.08085892067676316,0.8561543150704084,0.12912054436150677,0.09644642367839193,0.5921775872483961,21215.938011234957
2,wclust,0.11966265684669784,0.0857285074218081,0.7413876652533277,0.1279535594431832,0.09280497453171141,0.6759938187590785,10431.681393353432
2,sclust,0.3309717395855481,0.22640814925839847,0.008840637555108648,0.12921600684384985,0.0831353235898912,0.40464357882037494,25718.20837644636
4,sregular,0.08207797347756995,0.06442808758630095,0.9097057930428027,0.11447267191371639,0.09048533976726159,0.7975345456550317,20088.422435531793
4,wregular,0.08902795996306814,0.06884208115194299,0.9015005437101291,0.11269232599768364,0.08056204087727394,0.7683017911053512,11175.403331537835
4,random,0.08152497559545531,0.06424676087239711,0.9117412938588033,0.11196812984231441,0.08777034947645737,0.8442794530682544,4400.622676463331
4,wclust,0.10554130036825486,0.07925175712922411,0.8912543693288846,0.12553352321635564,0.08950432888003686,0.6095561786769346,11300.05013996006
4,sclust,0.1226655470734276,0.08721223853312049,0.7253084946877203,0.21198030225194925,0.15384154181793333,0.20216915061654217,19738.06556077703
6,sregular,0.08727304962600146,0.06760877412711638,0.8807245896302669,0.10313974067882718,0.0774696276621117,0.8343343798527147,18798.009198607582
6,wregular,0.09434431622673176,0.06934293421947858,0.8712521141356617,0.10852289118394655,0.07947199328538804,0.7876231409847911,10840.550686726043
6,random,0.09418040442790544,0.07177563150718361,0.8771997572055646,0.09740500275756223,0.07656557344848912,0.8638909262419642,2043.4878155196768
6,wclust,0.1179857713847941,0.09231814730116986,0.7825589408294545,0.1286419542098672,0.10286697433261979,0.7789698170433687,15226.784421341119
6,sclust,0.14251083404736284,0.1019463961397935,0.624249552415896,0.13915810807019718,0.10971013027953606,0.6945616195959563,14491.953867778138
8,sregular,0.08708740708809193,0.06496836131562772,0.8875178757055888,0.10141130035378754,0.08181945837608849,0.8456088205340668,18265.97029888213
